codepoint,character,character_name
U+011C,Ĝ,LATIN CAPITAL LETTER G WITH CIRCUMFLEX
U+011D,ĝ,LATIN SMALL LETTER G WITH CIRCUMFLEX
U+011E,Ğ,LATIN CAPITAL LETTER G WITH BREVE
U+011F,ğ,LATIN SMALL LETTER G WITH BREVE
U+0120,Ġ,LATIN CAPITAL LETTER G WITH DOT ABOVE
U+0121,ġ,LATIN SMALL LETTER G WITH DOT ABOVE
U+0122,Ģ,LATIN CAPITAL LETTER G WITH CEDILLA
U+0123,ģ,LATIN SMALL LETTER G WITH CEDILLA
U+0124,Ĥ,LATIN CAPITAL LETTER H WITH CIRCUMFLEX
U+0125,ĥ,LATIN SMALL LETTER H WITH CIRCUMFLEX
U+0126,Ħ,LATIN CAPITAL LETTER H WITH STROKE
U+0127,ħ,LATIN SMALL LETTER H WITH STROKE
U+0128,Ĩ,LATIN CAPITAL LETTER I WITH TILDE
U+0129,ĩ,LATIN SMALL LETTER I WITH TILDE
U+012A,Ī,LATIN CAPITAL LETTER I WITH MACRON
U+012B,ī,LATIN SMALL LETTER I WITH MACRON
U+012C,Ĭ,LATIN CAPITAL LETTER I WITH BREVE
U+012D,ĭ,LATIN SMALL LETTER I WITH BREVE
U+012E,Į,LATIN CAPITAL LETTER I WITH OGONEK
U+012F,į,LATIN SMALL LETTER I WITH OGONEK
U+0130,İ,LATIN CAPITAL LETTER I WITH DOT ABOVE
U+0131,ı,LATIN SMALL LETTER DOTLESS I
U+0132,Ĳ,LATIN CAPITAL LIGATURE IJ
U+0133,ĳ,LATIN SMALL LIGATURE IJ
U+0134,Ĵ,LATIN CAPITAL LETTER J WITH CIRCUMFLEX
U+0135,ĵ,LATIN SMALL LETTER J WITH CIRCUMFLEX
U+0136,Ķ,LATIN CAPITAL LETTER K WITH CEDILLA
U+0137,ķ,LATIN SMALL LETTER K WITH CEDILLA
U+0138,ĸ,LATIN SMALL LETTER KRA
U+0139,Ĺ,LATIN CAPITAL LETTER L WITH ACUTE
U+013A,ĺ,LATIN SMALL LETTER L WITH ACUTE
U+013B,Ļ,LATIN CAPITAL LETTER L WITH CEDILLA
U+013C,ļ,LATIN SMALL LETTER L WITH CEDILLA
U+013D,Ľ,LATIN CAPITAL LETTER L WITH CARON
U+013E,ľ,LATIN SMALL LETTER L WITH CARON
U+013F,Ŀ,LATIN CAPITAL LETTER L WITH MIDDLE DOT
U+0140,ŀ,LATIN SMALL LETTER L WITH MIDDLE DOT
U+0141,Ł,LATIN CAPITAL LETTER L WITH STROKE
U+0142,ł,LATIN SMALL LETTER L WITH STROKE
U+0143,Ń,LATIN CAPITAL LETTER N WITH ACUTE
U+0144,ń,LATIN SMALL LETTER N WITH ACUTE
U+0145,Ņ,LATIN CAPITAL LETTER N WITH CEDILLA
U+0146,ņ,LATIN SMALL LETTER N WITH CEDILLA
U+0147,Ň,LATIN CAPITAL LETTER N WITH CARON
U+0148,ň,LATIN SMALL LETTER N WITH CARON
U+0149,ŉ,LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
U+014A,Ŋ,LATIN CAPITAL LETTER ENG
U+014B,ŋ,LATIN SMALL LETTER ENG
U+014C,Ō,LATIN CAPITAL LETTER O WITH MACRON
U+014D,ō,LATIN SMALL LETTER O WITH MACRON
U+014E,Ŏ,LATIN CAPITAL LETTER O WITH BREVE
U+014F,ŏ,LATIN SMALL LETTER O WITH BREVE
U+0150,Ő,LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
U+0151,ő,LATIN SMALL LETTER O WITH DOUBLE ACUTE
U+0152,Œ,LATIN CAPITAL LIGATURE OE
U+0153,œ,LATIN SMALL LIGATURE OE
U+0154,Ŕ,LATIN CAPITAL LETTER R WITH ACUTE
U+0155,ŕ,LATIN SMALL LETTER R WITH ACUTE
U+0156,Ŗ,LATIN CAPITAL LETTER R WITH CEDILLA
U+0157,ŗ,LATIN SMALL LETTER R WITH CEDILLA
U+0158,Ř,LATIN CAPITAL LETTER R WITH CARON
U+0159,ř,LATIN SMALL LETTER R WITH CARON
U+015A,Ś,LATIN CAPITAL LETTER S WITH ACUTE
U+015B,ś,LATIN SMALL LETTER S WITH ACUTE
U+015C,Ŝ,LATIN CAPITAL LETTER S WITH CIRCUMFLEX
U+015D,ŝ,LATIN SMALL LETTER S WITH CIRCUMFLEX
U+015E,Ş,LATIN CAPITAL LETTER S WITH CEDILLA
U+015F,ş,LATIN SMALL LETTER S WITH CEDILLA
U+0160,Š,LATIN CAPITAL LETTER S WITH CARON
U+0161,š,LATIN SMALL LETTER S WITH CARON
U+0162,Ţ,LATIN CAPITAL LETTER T WITH CEDILLA
U+0163,ţ,LATIN SMALL LETTER T WITH CEDILLA
U+0164,Ť,LATIN CAPITAL LETTER T WITH CARON
U+0165,ť,LATIN SMALL LETTER T WITH CARON
U+0166,Ŧ,LATIN CAPITAL LETTER T WITH STROKE
U+0167,ŧ,LATIN SMALL LETTER T WITH STROKE
U+0168,Ũ,LATIN CAPITAL LETTER U WITH TILDE
U+0169,ũ,LATIN SMALL LETTER U WITH TILDE
U+016A,Ū,LATIN CAPITAL LETTER U WITH MACRON
U+016B,ū,LATIN SMALL LETTER U WITH MACRON
U+016C,Ŭ,LATIN CAPITAL LETTER U WITH BREVE
U+016D,ŭ,LATIN SMALL LETTER U WITH BREVE
U+016E,Ů,LATIN CAPITAL LETTER U WITH RING ABOVE
U+016F,ů,LATIN SMALL LETTER U WITH RING ABOVE
U+0170,Ű,LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
U+0171,ű,LATIN SMALL LETTER U WITH DOUBLE ACUTE
U+0172,Ų,LATIN CAPITAL LETTER U WITH OGONEK
U+0173,ų,LATIN SMALL LETTER U WITH OGONEK
U+0174,Ŵ,LATIN CAPITAL LETTER W WITH CIRCUMFLEX
U+0175,ŵ,LATIN SMALL LETTER W WITH CIRCUMFLEX
U+0176,Ŷ,LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
U+0177,ŷ,LATIN SMALL LETTER Y WITH CIRCUMFLEX
U+0178,Ÿ,LATIN CAPITAL LETTER Y WITH DIAERESIS
U+0179,Ź,LATIN CAPITAL LETTER Z WITH ACUTE
U+017A,ź,LATIN SMALL LETTER Z WITH ACUTE
U+017B,Ż,LATIN CAPITAL LETTER Z WITH DOT ABOVE
U+017C,ż,LATIN SMALL LETTER Z WITH DOT ABOVE
U+017D,Ž,LATIN CAPITAL LETTER Z WITH CARON
U+017E,ž,LATIN SMALL LETTER Z WITH CARON
U+017F,ſ,LATIN SMALL LETTER LONG S
U+0180,ƀ,LATIN SMALL LETTER B WITH STROKE
U+0181,Ɓ,LATIN CAPITAL LETTER B WITH HOOK
U+0182,Ƃ,LATIN CAPITAL LETTER B WITH TOPBAR
U+0183,ƃ,LATIN SMALL LETTER B WITH TOPBAR
U+0184,Ƅ,LATIN CAPITAL LETTER TONE SIX
U+0185,ƅ,LATIN SMALL LETTER TONE SIX
U+0186,Ɔ,LATIN CAPITAL LETTER OPEN O
U+0187,Ƈ,LATIN CAPITAL LETTER C WITH HOOK
U+0188,ƈ,LATIN SMALL LETTER C WITH HOOK
U+0189,Ɖ,LATIN CAPITAL LETTER AFRICAN D
U+018A,Ɗ,LATIN CAPITAL LETTER D WITH HOOK
U+018B,Ƌ,LATIN CAPITAL LETTER D WITH TOPBAR
U+018C,ƌ,LATIN SMALL LETTER D WITH TOPBAR
U+018D,ƍ,LATIN SMALL LETTER TURNED DELTA
U+018E,Ǝ,LATIN CAPITAL LETTER REVERSED E
U+018F,Ə,LATIN CAPITAL LETTER SCHWA
U+0190,Ɛ,LATIN CAPITAL LETTER OPEN E
U+0191,Ƒ,LATIN CAPITAL LETTER F WITH HOOK
U+0192,ƒ,LATIN SMALL LETTER F WITH HOOK
U+0193,Ɠ,LATIN CAPITAL LETTER G WITH HOOK
U+0194,Ɣ,LATIN CAPITAL LETTER GAMMA
U+0195,ƕ,LATIN SMALL LETTER HV
U+0196,Ɩ,LATIN CAPITAL LETTER IOTA
U+0197,Ɨ,LATIN CAPITAL LETTER I WITH STROKE
U+0198,Ƙ,LATIN CAPITAL LETTER K WITH HOOK
U+0199,ƙ,LATIN SMALL LETTER K WITH HOOK
U+019A,ƚ,LATIN SMALL LETTER L WITH BAR
U+019B,ƛ,LATIN SMALL LETTER LAMBDA WITH STROKE
U+019C,Ɯ,LATIN CAPITAL LETTER TURNED M
U+019D,Ɲ,LATIN CAPITAL LETTER N WITH LEFT HOOK
U+019E,ƞ,LATIN SMALL LETTER N WITH LONG RIGHT LEG
U+019F,Ɵ,LATIN CAPITAL LETTER O WITH MIDDLE TILDE
U+01A0,Ơ,LATIN CAPITAL LETTER O WITH HORN
U+01A1,ơ,LATIN SMALL LETTER O WITH HORN
U+01A2,Ƣ,LATIN CAPITAL LETTER OI
U+01A3,ƣ,LATIN SMALL LETTER OI
U+01A4,Ƥ,LATIN CAPITAL LETTER P WITH HOOK
U+01A5,ƥ,LATIN SMALL LETTER P WITH HOOK
U+01A6,Ʀ,LATIN LETTER YR
U+01A7,Ƨ,LATIN CAPITAL LETTER TONE TWO
U+01A8,ƨ,LATIN SMALL LETTER TONE TWO
U+01A9,Ʃ,LATIN CAPITAL LETTER ESH
U+01AA,ƪ,LATIN LETTER REVERSED ESH LOOP
U+01AB,ƫ,LATIN SMALL LETTER T WITH PALATAL HOOK
U+01AC,Ƭ,LATIN CAPITAL LETTER T WITH HOOK
U+01AD,ƭ,LATIN SMALL LETTER T WITH HOOK
U+01AE,Ʈ,LATIN CAPITAL LETTER T WITH RETROFLEX HOOK
U+01AF,Ư,LATIN CAPITAL LETTER U WITH HORN
U+01B0,ư,LATIN SMALL LETTER U WITH HORN
U+01B1,Ʊ,LATIN CAPITAL LETTER UPSILON
U+01B2,Ʋ,LATIN CAPITAL LETTER V WITH HOOK
U+01B3,Ƴ,LATIN CAPITAL LETTER Y WITH HOOK
U+01B4,ƴ,LATIN SMALL LETTER Y WITH HOOK
U+01B5,Ƶ,LATIN CAPITAL LETTER Z WITH STROKE
U+01B6,ƶ,LATIN SMALL LETTER Z WITH STROKE
U+01B7,Ʒ,LATIN CAPITAL LETTER EZH
U+01B8,Ƹ,LATIN CAPITAL LETTER EZH REVERSED
U+01B9,ƹ,LATIN SMALL LETTER EZH REVERSED
U+01BA,ƺ,LATIN SMALL LETTER EZH WITH TAIL
U+01BB,ƻ,LATIN LETTER TWO WITH STROKE
U+01BC,Ƽ,LATIN CAPITAL LETTER TONE FIVE
U+01BD,ƽ,LATIN SMALL LETTER TONE FIVE
U+01BE,ƾ,LATIN LETTER INVERTED GLOTTAL STOP WITH STROKE
U+01BF,ƿ,LATIN LETTER WYNN
U+01C0,ǀ,LATIN LETTER DENTAL CLICK
U+01C1,ǁ,LATIN LETTER LATERAL CLICK
U+01C2,ǂ,LATIN LETTER ALVEOLAR CLICK
U+01C3,ǃ,LATIN LETTER RETROFLEX CLICK
U+01C4,Ǆ,LATIN CAPITAL LETTER DZ WITH CARON
U+01C5,ǅ,LATIN CAPITAL LETTER D WITH SMALL LETTER Z WITH CARON
U+01C6,ǆ,LATIN SMALL LETTER DZ WITH CARON
U+01C7,Ǉ,LATIN CAPITAL LETTER LJ
U+01C8,ǈ,LATIN CAPITAL LETTER L WITH SMALL LETTER J
U+01C9,ǉ,LATIN SMALL LETTER LJ
U+01CA,Ǌ,LATIN CAPITAL LETTER NJ
U+01CB,ǋ,LATIN CAPITAL LETTER N WITH SMALL LETTER J
U+01CC,ǌ,LATIN SMALL LETTER NJ
U+01CD,Ǎ,LATIN CAPITAL LETTER A WITH CARON
U+01CE,ǎ,LATIN SMALL LETTER A WITH CARON
U+01CF,Ǐ,LATIN CAPITAL LETTER I WITH CARON
U+01D0,ǐ,LATIN SMALL LETTER I WITH CARON
U+01D1,Ǒ,LATIN CAPITAL LETTER O WITH CARON
U+01D2,ǒ,LATIN SMALL LETTER O WITH CARON
U+01D3,Ǔ,LATIN CAPITAL LETTER U WITH CARON
U+01D4,ǔ,LATIN SMALL LETTER U WITH CARON
U+01D5,Ǖ,LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
U+01D6,ǖ,LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
U+01D7,Ǘ,LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
U+01D8,ǘ,LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
U+01D9,Ǚ,LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
U+01DA,ǚ,LATIN SMALL LETTER U WITH DIAERESIS AND CARON
U+01DB,Ǜ,LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
U+01DC,ǜ,LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE
U+01DD,ǝ,LATIN SMALL LETTER TURNED E
U+01DE,Ǟ,LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
U+01DF,ǟ,LATIN SMALL LETTER A WITH DIAERESIS AND MACRON
U+01E0,Ǡ,LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON
U+01E1,ǡ,LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON
U+01E2,Ǣ,LATIN CAPITAL LETTER AE WITH MACRON
U+01E3,ǣ,LATIN SMALL LETTER AE WITH MACRON
U+01E4,Ǥ,LATIN CAPITAL LETTER G WITH STROKE
U+01E5,ǥ,LATIN SMALL LETTER G WITH STROKE
U+01E6,Ǧ,LATIN CAPITAL LETTER G WITH CARON
U+01E7,ǧ,LATIN SMALL LETTER G WITH CARON
U+01E8,Ǩ,LATIN CAPITAL LETTER K WITH CARON
U+01E9,ǩ,LATIN SMALL LETTER K WITH CARON
U+01EA,Ǫ,LATIN CAPITAL LETTER O WITH OGONEK
U+01EB,ǫ,LATIN SMALL LETTER O WITH OGONEK
U+01EC,Ǭ,LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
U+01ED,ǭ,LATIN SMALL LETTER O WITH OGONEK AND MACRON
U+01EE,Ǯ,LATIN CAPITAL LETTER EZH WITH CARON
U+01EF,ǯ,LATIN SMALL LETTER EZH WITH CARON
U+01F0,ǰ,LATIN SMALL LETTER J WITH CARON
U+01F1,Ǳ,LATIN CAPITAL LETTER DZ
U+01F2,ǲ,LATIN CAPITAL LETTER D WITH SMALL LETTER Z
U+01F3,ǳ,LATIN SMALL LETTER DZ
U+01F4,Ǵ,LATIN CAPITAL LETTER G WITH ACUTE
U+01F5,ǵ,LATIN SMALL LETTER G WITH ACUTE
U+01F6,Ƕ,LATIN CAPITAL LETTER HWAIR
U+01F7,Ƿ,LATIN CAPITAL LETTER WYNN
U+01F8,Ǹ,LATIN CAPITAL LETTER N WITH GRAVE
U+01F9,ǹ,LATIN SMALL LETTER N WITH GRAVE
U+01FA,Ǻ,LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE
U+01FB,ǻ,LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE
U+01FC,Ǽ,LATIN CAPITAL LETTER AE WITH ACUTE
U+01FD,ǽ,LATIN SMALL LETTER AE WITH ACUTE
U+01FE,Ǿ,LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
U+01FF,ǿ,LATIN SMALL LETTER O WITH STROKE AND ACUTE
U+0200,Ȁ,LATIN CAPITAL LETTER A WITH DOUBLE GRAVE
U+0201,ȁ,LATIN SMALL LETTER A WITH DOUBLE GRAVE
U+0202,Ȃ,LATIN CAPITAL LETTER A WITH INVERTED BREVE
U+0203,ȃ,LATIN SMALL LETTER A WITH INVERTED BREVE
U+0204,Ȅ,LATIN CAPITAL LETTER E WITH DOUBLE GRAVE
U+0205,ȅ,LATIN SMALL LETTER E WITH DOUBLE GRAVE
U+0206,Ȇ,LATIN CAPITAL LETTER E WITH INVERTED BREVE
U+0207,ȇ,LATIN SMALL LETTER E WITH INVERTED BREVE
U+0208,Ȉ,LATIN CAPITAL LETTER I WITH DOUBLE GRAVE
U+0209,ȉ,LATIN SMALL LETTER I WITH DOUBLE GRAVE
U+020A,Ȋ,LATIN CAPITAL LETTER I WITH INVERTED BREVE
U+020B,ȋ,LATIN SMALL LETTER I WITH INVERTED BREVE
U+020C,Ȍ,LATIN CAPITAL LETTER O WITH DOUBLE GRAVE
U+020D,ȍ,LATIN SMALL LETTER O WITH DOUBLE GRAVE
U+020E,Ȏ,LATIN CAPITAL LETTER O WITH INVERTED BREVE
U+020F,ȏ,LATIN SMALL LETTER O WITH INVERTED BREVE
U+0210,Ȑ,LATIN CAPITAL LETTER R WITH DOUBLE GRAVE
U+0211,ȑ,LATIN SMALL LETTER R WITH DOUBLE GRAVE
U+0212,Ȓ,LATIN CAPITAL LETTER R WITH INVERTED BREVE
U+0213,ȓ,LATIN SMALL LETTER R WITH INVERTED BREVE
U+0214,Ȕ,LATIN CAPITAL LETTER U WITH DOUBLE GRAVE
